text,category,priority,sentiment,resolution_time
Seal was wet worst experience kindly resolve reply fast,Packaging,Medium,-0.545,12
Received vitamin tablets in broken condition,Packaging,Low,-0.375,82
Honestly energy drink packaging was seal missing,Packaging,Medium,0.0,20
I want to complain vitamin tablets packaging was wet plus There is no stock for weight loss supplement frustrated very bad service,Packaging,Low,-0.545,55
Very bad experience Packaging is completely wet because This energy drink feels fake extremely upset need urgent help,Packaging,High,-0.667,6
I am happy with the product,Packaging,Low,0.444,117
Facing issue There is late shipment for protein powder frustrated not good,Trade,Medium,-0.583,26
immunity booster is contaminated not happy this is not acceptable,Product,Medium,0.167,31
Delivery was fast and smooth,Product,Low,0.375,60
"Honestly herbal capsules is expired and After using protein powder, I faced stomach pain reply fast",Product,Medium,0.0,40
My order has no stock frustrated,Trade,Low,-0.375,93
The box arrived broken angry very bad service,Packaging,Medium,-0.667,47
Seal was broken very disappointed,Packaging,Low,-0.545,61
"After using vitamin tablets, I faced vomiting because The box arrived broken",Product,High,-0.375,9
Honestly protein powder order not updated frustrated respond fast,Trade,Medium,-0.375,20
This energy drink feels low quality and I am facing order not updated angry please fix this very bad service,Product,Medium,-0.583,37
I want to complain My order has no stock because This herbal capsules feels rotten angry kindly resolve very bad service,Trade,Medium,-0.583,22
I want to complain immunity booster order not updated so vitamin tablets is not fresh frustrated,Trade,Low,-0.375,98
Received protein powder in already opened condition this is not acceptable,Packaging,Low,0.0,105
I need help protein powder order not updated respond fast,Trade,Low,0.0,98
Facing issue Packaging is completely leaking even There is price confusion for protein powder worst experience kindly resolve reply fast,Packaging,Medium,-0.615,32
Seal was wet because I think immunity booster is expired because I got vomiting respond fast,Packaging,High,0.0,9
I think protein powder is contaminated because I got vomiting also vitamin tablets order not updated this is not acceptable,Product,High,0.0,4
Honestly weight loss supplement packaging was damaged,Packaging,Low,-0.375,83
Delivery was fast and smooth,Trade,Low,0.375,78
I want to complain This vitamin tablets feels smells weird but I think herbal capsules is tastes bad because I got dizziness worst experience,Product,Medium,-0.643,30
The box arrived leaking also The box arrived seal missing very disappointed,Packaging,Medium,-0.375,20
Product quality is very good,Packaging,Low,0.375,66
I need help I am facing late shipment angry,Trade,Medium,-0.545,44
I want to complain energy drink order not updated kindly resolve,Trade,Low,0.0,102
I need help Seal was already opened worst experience this is not acceptable,Packaging,Medium,-0.545,23
Very bad experience Seal was wet so I am facing price confusion pls help asap,Packaging,Medium,-0.375,12
I need help protein powder order not updated because There is delivery delay for energy drink please fix this,Trade,Medium,-0.286,33
There is late shipment for protein powder because No response about price confusion respond fast not good,Trade,Medium,-0.286,23
This is to inform you Seal was already opened angry,Packaging,Medium,-0.444,19
Packaging is completely crushed very disappointed this is not acceptable,Packaging,Low,-0.375,111
"Facing issue This herbal capsules feels not fresh and After using herbal capsules, I faced dizziness urgent",Product,Medium,-0.286,47
Nice experience overall,Packaging,Low,0.375,50
I used immunity booster and got burning sensation so Packaging is completely damaged respond fast,Product,Medium,-0.375,47
I want to complain My order has late shipment and The box arrived seal missing extremely upset this is not acceptable reply fast,Trade,High,-0.5,2
Good packaging and good quality,Product,Low,0.375,60
My order has no stock need urgent help pls help asap,Trade,High,0.0,7
Seal was crushed and Packaging is completely torn worst experience need urgent help pls help asap,Packaging,Medium,-0.545,39
There is price confusion for protein powder extremely upset,Trade,Low,-0.375,67
I need help I used herbal capsules and got nausea also The box arrived seal missing very disappointed please fix this,Product,Medium,-0.375,32
Seal was wet very disappointed this is not acceptable pls help asap,Packaging,Medium,-0.375,39
I want to complain immunity booster order not updated plus Seal was damaged worst experience need urgent help,Trade,High,-0.643,4
I am facing no stock angry respond fast very bad service,Trade,Medium,-0.583,36
I need help Packaging is completely already opened not happy,Packaging,Medium,0.167,12
Honestly Received energy drink in crushed condition angry,Packaging,Low,-0.444,84
I am happy with the product,Product,Low,0.444,103
Facing issue Packaging is completely damaged very disappointed,Packaging,Medium,-0.615,36
Very bad experience There is order not updated for weight loss supplement not happy,Trade,Low,-0.286,60
"After using vitamin tablets, I faced vomiting extremely upset not good",Product,Medium,-0.375,47
There is order not updated for weight loss supplement plus I am facing delivery delay,Trade,Low,-0.286,80
Honestly Packaging is completely broken worst experience please fix this,Packaging,Medium,-0.643,23
There is late shipment for protein powder and No response about delivery delay very disappointed reply fast,Trade,High,-0.583,9
This is to inform you I used protein powder and got burning sensation even My order has order not updated worst experience this is not acceptable,Product,Low,-0.545,63
Facing issue energy drink order not updated angry reply fast,Trade,Medium,-0.545,42
I need help protein powder is rotten plus No response about order not updated,Product,Medium,0.0,27
I used vitamin tablets and got allergy even Packaging is completely damaged,Product,High,-0.375,10
Seal was wet very disappointed not good,Packaging,Low,-0.375,66
This is to inform you herbal capsules is tastes bad because weight loss supplement order not updated,Product,Low,-0.375,84
Honestly There is late shipment for herbal capsules because I think energy drink is rotten because I got skin rash  reply fast,Trade,High,-0.286,5
Very bad experience I used weight loss supplement and got allergy but protein powder is expired very disappointed,Product,High,-0.545,7
weight loss supplement order not updated but My order has delivery delay respond fast,Trade,Medium,-0.286,36
This energy drink feels contaminated angry,Product,Medium,-0.444,30
I want to complain There is delivery delay for herbal capsules respond fast,Trade,Medium,-0.286,47
